gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5295191363	ba9984d8-d982-4fe6-b81c-a7585790034a	fe8b07be-66db-4656-a656-17f9d5cf93c7	Animalia	Arthropoda	Arachnida	Araneae					ORDER	Araneae	Araneae		US	UT Hill Country Field Station - NAIAN Malaise Site	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.3299	-98.13867							2025-06-08	8	6	2025	1496		PRESERVED_SPECIMEN	UTIC	Entomology Collection	408262		Maguiña, Rossana	2025-08-20T00:00:00	CC0_1_0		Rossana Maguiña			2025-09-22T17:09:59.844Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5295191341	ba9984d8-d982-4fe6-b81c-a7585790034a	1013ea2a-a7a8-4c5a-a064-e20e9f5c4c90	Animalia	Arthropoda	Arachnida	Araneae					ORDER	Araneae	Araneae		US	UT Hill Country Field Station - NAIAN Malaise Site	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.3299	-98.13867							2025-05-27	27	5	2025	1496		PRESERVED_SPECIMEN	UTIC	Entomology Collection	408252		Maguiña, Rossana	2025-08-20T00:00:00	CC0_1_0		Rossana Maguiña			2025-09-22T17:10:01.614Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5295191334	ba9984d8-d982-4fe6-b81c-a7585790034a	3600b6d4-938c-402f-9796-e959e944903a	Animalia	Arthropoda	Arachnida	Araneae					ORDER	Araneae	Araneae		US	UT Hill Country Field Station - NAIAN Malaise Site	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.3299	-98.13867							2025-05-08	8	5	2025	1496		PRESERVED_SPECIMEN	UTIC	Entomology Collection	408243		Maguiña, Rossana	2025-08-20T00:00:00	CC0_1_0		Rossana Maguiña			2025-09-22T17:09:57.855Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
5198470153	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/289364537	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Rabidosa	Rabidosa rabida		SPECIES	Rabidosa rabida (Walckenaer, 1837)	Rabidosa rabida		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.320791	-98.148033	10.0						2025-06-11T12:05	11	6	2025	2147079	2147079	HUMAN_OBSERVATION	iNaturalist	Observations	289364537		Shelia Hargis	2025-06-13T21:22:48	CC_BY_NC_4_0	Shelia Hargis	Shelia Hargis			2025-09-23T15:35:32.046Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5133919262	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/268435470	Animalia	Arthropoda	Arachnida	Araneae	Theridiidae	Latrodectus	Latrodectus hesperus		SPECIES	Latrodectus hesperus Chamberlin & Ivie, 1935	Latrodectus hesperus		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.331963	-98.138487	11.0						2025-04-02T22:12:05	2	4	2025	2157942	2157942	HUMAN_OBSERVATION	iNaturalist	Observations	268435470		kayaclover	2025-04-03T20:04:29	CC_BY_NC_4_0	kayaclover	kayaclover			2025-09-23T13:52:41.878Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5133819995	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/268376053	Animalia	Arthropoda	Arachnida	Araneae	Lycosidae	Tigrosa	Tigrosa georgicola		SPECIES	Tigrosa georgicola (Walckenaer, 1837)	Tigrosa georgicola		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.331808	-98.139467	11.0						2025-04-02T20:09:30	2	4	2025	8181827	8181827	HUMAN_OBSERVATION	iNaturalist	Observations	268376053		Leif	2025-04-07T11:54:25	CC_BY_NC_4_0	Elena Adams	Elena Adams			2025-09-23T12:13:13.350Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5076924860	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/262468017	Animalia	Arthropoda	Arachnida	Araneae	Araneidae	Argiope	Argiope trifasciata		SPECIES	Argiope trifasciata (Forsskål, 1775)	Argiope trifasciata		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.331822	-98.138175	4.0						2024-11-12T19:17:28	12	11	2024	5170973	5170973	HUMAN_OBSERVATION	iNaturalist	Observations	262468017		Breanna Lyle	2025-02-21T02:55:08	CC_BY_NC_4_0	alihou	alihou			2025-09-23T12:11:35.435Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4875619302	ba9984d8-d982-4fe6-b81c-a7585790034a	037b7e26-e08e-4cc2-ac5b-da60ec1b8a06	Animalia	Arthropoda	Arachnida	Araneae	Thomisidae				FAMILY	Thomisidae	Thomisidae		US	UT Hill Country Field Station - Coachwhip Meadow	Texas	PRESENT		3c6ad080-bdbe-11da-ac59-b8a03c50a862	30.3252	-98.1455							2024-05-18	18	5	2024	6163		PRESERVED_SPECIMEN	UTIC	Entomology Collection	361876		Wild, Alex	2024-06-04T00:00:00	CC0_1_0		Jo-anne Holley			2025-09-22T17:09:59.083Z		GEODETIC_DATUM_ASSUMED_WGS84;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
4872427433	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/218227937	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	Dolomedes vittatus		SPECIES	Dolomedes vittatus Walckenaer, 1837	Dolomedes vittatus		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.331875	-98.144485							2024-05-25T10:30	25	5	2024	2150906	2150906	HUMAN_OBSERVATION	iNaturalist	Observations	218227937		chuuuuung	2024-05-25T23:28:59	CC_BY_NC_4_0	Rich Kostecke	Rich Kostecke			2025-09-23T12:00:13.152Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
4028841652	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/90484723	Animalia	Arthropoda	Arachnida	Araneae	Pisauridae	Dolomedes	Dolomedes vittatus		SPECIES	Dolomedes vittatus Walckenaer, 1837	Dolomedes vittatus		US		Texas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.33187	-98.144478	7.0						2021-08-08T18:44:57	8	8	2021	2150906	2150906	HUMAN_OBSERVATION	iNaturalist	Observations	90484723		Trevor Hance	2021-08-09T02:02:08	CC_BY_NC_4_0	Trevor Hance	Trevor Hance			2025-09-23T14:30:49.777Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
